RollNo,Name,Age,Gender,Country,Course
mit23f1011,Alexander,23,M,Germany,Chemistry
mit23f1019,Bharathan,25,M,India,Physics
oxf23w1017,Yua,24,F,Japan,Physics
oxf23w1018,Emma,26,F,USA,Chemistry
oxf23w1019,Ava,24,F,UK,Biology
oxf23w1020,Sophia,26,F,France,Math
mit23f1021,Sara,25,F,Japan,Math
oxf23w1020,George,25,M,UK,Biology
oxf23w1021,Arthur,25,M,UK,Physics
oxf23w1022,Leo,24,M,Germany,Chemistry
oxf23w1023,Harry,26,M,USA,Math
mit23f1013,Katherine,24,F,USA,Chemistry
mit23f1010,Kerin,26,M,Italy,Biology
oxf23w1024,Mitali,24,F,India,Physics
